true_smiles,name,pred_smiles_1,pred_smiles_2,pred_smiles_3
CC1=CC2=C(C(=C1)O)C(=C3C(=O)[C@H]4C(C5[C@]3(C2=O)[C@@H]6C(C5[C@@]47C(=C(C8=C(C7=O)C=C(C=C8O)C)O)C6=O)O)O)O,MassSpecGymID0001903,Cc1cc(O)c2c(c1)C(O)=CC1C(O)C1C(O)=C2O,Cc1cc(O)c(C(=O)C2c3c4cc(C)cc3[C@@]35C(=O)c6c(O)c-4cc(O)c6C(=O)C3[C@@H](O)[C@@H]25)c(C(O)=CO)c1,Cc1cc(O)c2c(c1)C(=O)CC2=O
CO/C=C(\C1=CC=CC=C1OC2=NC=NC(=C2)OC3=CC=CC=C3C#N)/C(=O)O,MassSpecGymID0018837,CO/C=C(/C(=O)O)c1ccccc1Oc1cc(Oc2ccccc2C#N)ncn1,COO/C=C(/C(=O)O)c1ccccc1Oc1cc(Oc2ccccc2C#N)ncn1,COC(C)=C(C(=O)O)c1ccccc1Oc1cc(Oc2ccccc2C#N)ncn1
CO/C=C(\C1=CC=CC=C1OC2=NC=NC(=C2)OC3=CC=CC=C3C#N)/C(=O)O,MassSpecGymID0018840,COC=C(C(=O)O)c1ccccc1Oc1cc(Oc2ccccc2C#N)ncn1,COC=C(COOO)c1ccc2cc(Oc3ccccc3C#N)ncc2c1C#N,CO/C=C(\C(=O)C(=O)O)c1ccccc1Oc1cc(Oc2ccccc2C#N)ncn1
CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,MassSpecGymID0027378,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,Cc1ccc(NC(=O)c2ccc(N3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1-c1nccc(-c2cccnc2)n1
CO/C=C(\C1=CC=CC=C1OC2=NC=NC(=C2)OC3=CC=CC=C3C#N)/C(=O)OC,MassSpecGymID0027960,COC=C(C(=O)OC)c1ccccc1Oc1cc(Oc2ccccc2C#N)ncn1,[2H]OCC=C(C(=O)OC)c1ccccc1Oc1cc(Oc2ccccc2C#N)ncn1,COC(=O)/C(=C/c1ccccc1Oc1cc(Oc2ccccc2C#N)ncn1)OC
CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,MassSpecGymID0058040,CN(C)[C@@H]1C(=O)C(C(N)=O)=C(O)[C@]2(O)C(=O)C3=C(O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12,CN(C)[C@@H]1C(=O)C(C(N)=O)=C(O)[C@@]2(O)C(=O)C3=C(O)c4c(O)cccc4[C@@](C)(CO)[C@H]3CC12,CN(C)[C@H]1C(=O)C(C(N)=O)=C(O)[C@@]2(O)C(=O)C3=C(O)c4c(O)cccc4[C@@](C)(O)[C@@H]([Te])[C@H]3C[C@H]12
CCC(C)C1C(C=CC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)NC(=O)C)OC)OC)C)C,MassSpecGymID0058077,CC[C@H](C)[C@H]1O[C@]2(C=C[C@@H]1C)C[C@@H]1C[C@@H](C/C=C(\C)[C@H]([C@H]3C[C@H](OC)[C@@H](OO[C@H]4C[C@H](OC)[C@H](NC(C)=O)[C@H](C)O4)[C@H](C)O3)[C@@H](C)/C=C/C=C3CO[C@@H]4[C@H](O)C(C)=C[C@@H](C(=O)O1)[C@]34O)O2,CC[C@H](C)[C@H]1O[C@]2(C=C[C@H]1C)C[C@@H]1C[C@@H](C/C=C(\C)[C@@H](O[C@H]3C[C@H](OC)[C@@H](O[C@H]4C[C@H](OC)[C@H](NC(C)=O)[C@H](C)O4)[C@H](C)O3)[C@@H](C)/C=C/C=C3\CO[C@@H]4C(C)=C[C@@H](CC(=O)OO1)[C@]34O)O2,CC[C@@H](C)[C@H]1O[C@]2(C=C[C@@H]1C)C[C@@H]1C[C@@H](C/C=C(\C)[C@@H](O[C@H]3C[C@H](OC)[C@@H](O[C@@H]4O[C@@H](C)[C@H](NC(C)=O)[C@H]4OC)[C@H](C)O3)[C@@H](C)/C=C/C=C3\CO[C@@H]4[C@H](O)C(C)=C[C@H](C(=O)O1)[C@]34O)O2
CCC(C)C1C(C=CC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)NC(=O)C)OC)OC)C)C,MassSpecGymID0058081,CC[C@H](C)[C@H]1O[C@]2(C=C[C@@H]1C)C[C@@H]1C[C@@H](CC=C(C)[C@@H](O[C@@H]3C[C@H](OC)[C@@H](O[C@H]4C[C@H](OC)[C@@H](NC)[C@H](C)O4)[C@H](C)O3)[C@@H](C)C=CC=C3CO[C@@H]4[C@H](O)C(C)=C[C@@H](C(=O)O1)[C@]34O)O2,CC[C@H](C)[C@H]1O[C@]2(C=C[C@@H]1C)C[C@@H]1C[C@@H](C/C=C(\C)[C@@H](O[C@H]3C[C@H](OC)[C@@H](O)[C@H](C)O3)[C@@H](C)/C=C/C=C3\CO[C@@H]4[C@H](O)C(C)=C[C@@H](C(=O)O1)[C@]34O)O2,CC[C@@H](C)[C@H]1O[C@]2(C=C[C@@H]1C)C[C@@H]1C[C@@H](C/C=C(/C)[C@H](O[C@H]3C[C@H](OC)[C@H](O[C@H]4C[C@H](OC)[C@H](O)[C@H](C)O4)[C@H](C)O3)[C@@H](C)/C=C/C=C3\CO[C@H]4[C@H](C)C=C[C@@H](C(=O)O1)[C@]34O)O2
CC(C)(C)C1=CC=C(C=C1)C(CCCN2CCC(CC2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O)O,MassSpecGymID0059173,CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,CC(C)(O)c1ccc(C(O)CCCN2CCC(C(C)(c3ccccc3)c3ccccc3)CC2)cc1,CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(Cc3ccccc3)c3ccccc3)C2)cc1
CC1C2C(C3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,MassSpecGymID0061350,C[C@H]1c2cccc(O)c2C(O)=C2C(=O)[C@]3(O)C(O)=C(C(N)=O)C(=O)[C@H](N(C)C)[C@H]3[C@H](O)[C@H]21,C[C@H]1c2cccc(O)c2C(O)=C2C(=O)[C@]3(O)OC(C(N)=O)=CC(=O)[C@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21,C[C@H]1c2cccc(O)c2C(O)=C2C(=O)[C@]3(O)C(O)=C(C(N)=CO)C(=O)C(N(C)C)[C@@H]3[C@@H](O)[C@@H]21
